"ABS","Australian Bureau of Statistics"
"ANZSRC","Australian and New Zealand Standard Research Classification"
"ARC","Australian Research Council"
"FoR","Fields of Research"
"FORD","Fields of Research and Development"
"MBIE","Ministry of Business, Innovation and Employment"
"NABS","Nomenclature for the Analysis and Comparison of Scientific Budgets and Programmes"
"NZ","New Zealand"
"SEO","Socio-Economic Objectives"
"ToA","Type of Activity"

"Source: Australian Bureau of Statistics, Australian and New Zealand Standard Research Classification (ANZSRC) 2020"
